data,ano,mes_numero,dia_semana,dia_semana_numero,fim_semana,uf,regiao,total_acidentes,total_graves_fatais,total_mortos,total_feridos_graves,total_vitimas,taxa_gravidade
2022-01-21,2022,1,sexta-feira,5,False,RO,Norte,3,0,0,0,2,0.0
2022-01-21,2022,1,sexta-feira,5,False,RS,Sul,11,5,3,3,11,0.454545
2022-01-21,2022,1,sexta-feira,5,False,SC,Sul,17,4,0,4,10,0.235294
2022-01-21,2022,1,sexta-feira,5,False,SP,Sudeste,10,2,2,0,11,0.2
2022-01-21,2022,1,sexta-feira,5,False,TO,Norte,3,0,0,0,2,0.0
2022-01-22,2022,1,sábado,6,True,AC,Norte,2,0,0,0,1,0.0
2022-01-22,2022,1,sábado,6,True,AL,Nordeste,1,1,0,1,3,1.0
2022-01-22,2022,1,sábado,6,True,AM,Norte,1,0,0,0,2,0.0
2022-01-22,2022,1,sábado,6,True,BA,Nordeste,14,7,3,7,25,0.5
2022-01-22,2022,1,sábado,6,True,CE,Nordeste,4,1,0,1,8,0.25
2022-01-22,2022,1,sábado,6,True,DF,Centro-Oeste,1,0,0,0,0,0.0
2022-01-22,2022,1,sábado,6,True,ES,Sudeste,4,1,0,4,8,0.25
2022-01-22,2022,1,sábado,6,True,GO,Centro-Oeste,12,3,3,2,17,0.25
2022-01-22,2022,1,sábado,6,True,MA,Nordeste,2,0,0,0,4,0.0
2022-01-22,2022,1,sábado,6,True,MG,Sudeste,22,7,2,7,31,0.318182
2022-01-22,2022,1,sábado,6,True,MS,Centro-Oeste,8,3,3,1,6,0.375
2022-01-22,2022,1,sábado,6,True,MT,Centro-Oeste,11,6,2,4,10,0.545455
2022-01-22,2022,1,sábado,6,True,PB,Nordeste,4,3,1,2,4,0.75
2022-01-22,2022,1,sábado,6,True,PE,Nordeste,5,2,1,4,9,0.4
2022-01-22,2022,1,sábado,6,True,PI,Nordeste,5,2,2,0,5,0.4
2022-01-22,2022,1,sábado,6,True,PR,Sul,23,8,2,6,32,0.347826
2022-01-22,2022,1,sábado,6,True,RJ,Sudeste,9,4,1,3,15,0.444444
2022-01-22,2022,1,sábado,6,True,RN,Nordeste,4,2,0,2,5,0.5
2022-01-22,2022,1,sábado,6,True,RO,Norte,4,2,0,2,3,0.5
2022-01-22,2022,1,sábado,6,True,RR,Norte,1,0,0,0,1,0.0
2022-01-22,2022,1,sábado,6,True,RS,Sul,19,2,0,2,20,0.105263
2022-01-22,2022,1,sábado,6,True,SC,Sul,29,7,2,9,44,0.241379
2022-01-22,2022,1,sábado,6,True,SE,Nordeste,4,1,0,2,4,0.25
2022-01-22,2022,1,sábado,6,True,SP,Sudeste,15,1,1,0,16,0.066667
2022-01-22,2022,1,sábado,6,True,TO,Norte,1,0,0,0,0,0.0
2022-01-23,2022,1,domingo,0,True,AC,Norte,2,0,0,0,4,0.0
2022-01-23,2022,1,domingo,0,True,AL,Nordeste,1,0,0,0,0,0.0
2022-01-23,2022,1,domingo,0,True,BA,Nordeste,9,2,0,2,10,0.222222
2022-01-23,2022,1,domingo,0,True,CE,Nordeste,8,1,1,0,6,0.125
2022-01-23,2022,1,domingo,0,True,DF,Centro-Oeste,2,1,1,0,2,0.5
2022-01-23,2022,1,domingo,0,True,ES,Sudeste,7,3,0,6,14,0.428571
2022-01-23,2022,1,domingo,0,True,GO,Centro-Oeste,13,3,2,2,14,0.230769
2022-01-23,2022,1,domingo,0,True,MA,Nordeste,4,1,0,1,3,0.25
2022-01-23,2022,1,domingo,0,True,MG,Sudeste,34,11,3,11,50,0.323529
2022-01-23,2022,1,domingo,0,True,MS,Centro-Oeste,6,3,2,4,18,0.5
2022-01-23,2022,1,domingo,0,True,MT,Centro-Oeste,3,2,1,1,5,0.666667
2022-01-23,2022,1,domingo,0,True,PA,Norte,2,2,2,0,2,1.0
2022-01-23,2022,1,domingo,0,True,PB,Nordeste,3,1,0,1,5,0.333333
2022-01-23,2022,1,domingo,0,True,PE,Nordeste,8,3,0,4,6,0.375
2022-01-23,2022,1,domingo,0,True,PI,Nordeste,1,0,0,0,1,0.0
2022-01-23,2022,1,domingo,0,True,PR,Sul,18,9,3,11,34,0.5
2022-01-23,2022,1,domingo,0,True,RJ,Sudeste,14,4,1,3,21,0.285714
2022-01-23,2022,1,domingo,0,True,RN,Nordeste,1,0,0,0,0,0.0
2022-01-23,2022,1,domingo,0,True,RO,Norte,7,0,0,0,6,0.0
